video_id,category,Likes_Actual,Likes_Predicted
Hkx5fveyjIs,Entertainment,1334,5427
_-aDHxoblr4,Education,17486,10393
8UHMSVOHddE,Music,6160,23380
NpciU6AtlJU,Music,2678,20489
2rx8VHNG-DE,Newsand Politics,194,2046
p2EY93WfBQk,Howtoand Style,27945,14403
zMKI64iY2CY,Autosand Vehicles,18770,38828
DmWm3ar0PiQ,Howtoand Style,26212,18316
xBiB4CIq9FE,Howtoand Style,51004,47829
TkCcncggO3I,Sports,832,11404
JqIkzS2wSz8,Entertainment,3912,6299
P9mBXomW1No,Comedy,3729,6365
4tpIiSqyiLo,Entertainment,16139,25035
K0u_kAWLJOA,Gaming,83372,76898
J6iyX87SBP0,Filmand Animation,3834,35413
cUa93K56cc0,Howtoand Style,36157,24468
7dKownfx75E,Entertainment,4372,11823
voG07pt-KYI,Music,518524,312941
S4vxoP-IF2M,Science and Technology,20167,12624
QUP8vf18oWA,Howtoand Style,33160,27556
TN7LvuEpDIE,Peopleand Blogs,30566,15829
gR0pSSISaVk,Sports,54404,133046
fEMxFSjmo5Q,Howtoand Style,27862,24975
nukwmfb8bII,Peopleand Blogs,32349,37108
CwKp6Xhy3_4,Music,5775,28958
OAGfx7eB3gA,Petsand Animals,107161,108464
vgX5M1eVhyw,Howtoand Style,1076,1254
b3ofgTrsXPI,Peopleand Blogs,24878,20141
FaJmopuuhZE,Music,4727,23497
1lGHZ5NMHRY,Science and Technology,28595,12202
HNvX4pY1TLI,Newsand Politics,7840,53192
MgMLdq9DnNc,Howtoand Style,10057,6946
K7imG4DYXlM,Science and Technology,11680,8798
bXYkU5u5pzg,Sports,870,14386
v6WdrNN9j8w,Comedy,35456,25141
3HhK7HbX3Qs,Sports,13345,42850
M2YwkAWg0_g,Science and Technology,22140,13713
z1FfOwjlqxU,Sports,8838,44163
_SbotS1p4yg,Entertainment,2177,5973
rhhQS3ns6HU,Peopleand Blogs,677404,854503
6ZkZ7pSD2mw,Entertainment,6,2679
V3EYjVPRClU,Music,161177,157645
C3_spbo8eVc,Music,25303,32500
cYxzLGk2NcY,Comedy,170257,126762
pEN_htHtt_c,Petsand Animals,5905,23943
vDyYMcjf500,Gaming,7649,14742
3McYSX6jSIg,Peopleand Blogs,1014,6365
jiZfc0b2t3Q,Sports,10702,27722
h3umdwK-oPs,Entertainment,65570,34043
TTio2AvTMKk,Entertainment,37,2732
ZB7_1CoKntI,Comedy,160831,77658
6S9c5nnDd_s,Filmand Animation,336625,317675
Y1n8F4uClUU,Autosand Vehicles,16937,95328
x2u-KEex34A,Sports,5217,19099
isI6DqxAr7s,Music,33599,36997
TN7LvuEpDIE,Peopleand Blogs,30915,16019
wextSFa6rmI,Comedy,6017,7941
MidgYgFwgTI,Entertainment,42577,58715
x2u-KEex34A,Sports,7063,22489
ZWGh7si0Y50,Entertainment,2883,7533
Pymm6cmE9uQ,Entertainment,29566,70744
zFuOksI6AVg,Entertainment,11849,12480
16W7c0mb-rE,Education,88541,44637
98ixGAcR1T4,Entertainment,12087,12784
Dtp6sO2tU0k,Sports,9049,21734
X6iJ0hPpGec,Entertainment,38869,31837
99t4EBwIAt8,Entertainment,72287,32516
uGwcNjWrgaU,Entertainment,5233,7019
W7a8qyJ5W74,Comedy,771,7862
S1ke1xQ-rmY,Science and Technology,64,-1570
mdWcaWBxxcY,Entertainment,325595,365184
r-3iathMo7o,Science and Technology,110316,124949
RyquDQ5kWSs,Entertainment,9339,31247
oyC4lLTOyL8,Education,12150,6325
CG9yQ8PXf6o,Music,27905,57322
mdyegeGkdL4,Entertainment,13993,35387
zNZJNlx4P80,Entertainment,9965,15030
BmMuLuG1yW8,Entertainment,11251,27563
MEcc8e7WwXg,Newsand Politics,20240,76197
BrqFTswejpU,Entertainment,42315,43682
6Rl7fQQRmtg,Entertainment,115164,100584
oJToMo97UOU,Filmand Animation,6862,34176
pihJVwap7iI,Music,6464,21405
6hIFDfP9rNc,Newsand Politics,1378,3424
RyquDQ5kWSs,Entertainment,6588,23013
sW5HaEsnuMI,Science and Technology,28240,28283
8XBLuU_4Qgo,Newsand Politics,17559,41335
Mo9Xw_EYDFo,Sports,4839,16549
j1f04Jg7IaA,Howtoand Style,23263,15299
mB7hkJ33044,Sports,8465,59452
EZSCtgfmEO0,Newsand Politics,21438,28120
20DPgRoyQn0,Peopleand Blogs,121443,225475
RBNLxU98svQ,Entertainment,111,2881
0MyCrMrkMFo,Entertainment,16878,10660
9Q1WSQ7R8U8,Sports,3301,16739
sV7QeEJ9daI,Howtoand Style,3592,2756
hdoLeKGoSjw,Comedy,31428,65562
XcUiOyKclOI,Music,3920,21046
ByucbuSe958,Music,17508,30229
Kemqo35m8gk,Howtoand Style,11799,28070
0devsSCkYRY,Newsand Politics,35,1528
b7FxPsqfkOY,Education,12453,7555
c0bsKc4tiuY,Peopleand Blogs,52930,28397
fRj34o4hN4I,Science and Technology,196513,297543
8bNu6Ktj858,Entertainment,6552,15569
rzVJrBOsf0M,Howtoand Style,8059,7998
gs-iqvX6pOA,Howtoand Style,25686,37105
FGHji60FP50,Newsand Politics,6767,23177
LTyKOzyqyCM,Music,5288,21564
wzKL-bQKcgA,Comedy,801481,388988
9bAiXJoNdy0,Comedy,27645,13668
o9zRQijCN5w,Music,25609,31605
ORjqEzrLG-U,Peopleand Blogs,2253,7304
3k6RD9zVvpE,Comedy,144873,63360
t8a8EFMAuSU,Sports,8641,34525
ZEkImgh--PE,Music,279616,227202
tVlb8rVs7kU,Howtoand Style,6808,3913
ZCNyOsPh2ng,Entertainment,24694,50838
BLts9UN_K3g,Gaming,4287,10187
mQ055hHdxbE,Music,114226,100438
to-e5edw-X8,Peopleand Blogs,582,5962
B4mK5OElAFQ,Comedy,17333,22258
5y0owYFTMno,Entertainment,3463,9429
U9BwWKXjVaI,Music,820199,875224
HNvX4pY1TLI,Newsand Politics,7796,56960
ulNswX3If6U,Filmand Animation,922355,1137915
NBgNCDF4lG8,Music,11174,30255
qvZybtmE5RY,Entertainment,7592,24607
CFa-pa0-VqI,Howtoand Style,61959,47679
phXTecbj6NI,Howtoand Style,6071,5650
pcWKpGzhgq4,Entertainment,8985,17837
BspHjvU11y4,Music,44728,56586
KFaMZUarksA,Music,117804,83729
o6XERmXsP-U,Entertainment,9906,10044
5PB2YzNddI8,Music,29873,33868
bqFjyo7I8fY,Music,149465,99397
Zb1ShTFP198,Entertainment,8126,15886
YQ1cEC6FZRg,Howtoand Style,1240,1981
P7WRXaxu1u4,Entertainment,2493,12410
4nM94zdOh50,Entertainment,5676,15554
GEsK9GudV2M,Music,81251,46954
qIkuNJPtfw4,Howtoand Style,15337,11142
LE7QEIy-6NE,Howtoand Style,11158,10947
rwFfo61fVSY,Peopleand Blogs,7433,18495
9fKALFSxX_Q,Howtoand Style,14795,9085
7C2z4GqqS5E,Music,5595203,6483372
QCjk_NPsIqU,Entertainment,144638,149703
NyNQLRhsAsk,Comedy,16690,38866
olOdCkYIsrA,Science and Technology,4090,2451
y3qfeoqErtY,Entertainment,42991,39175
6tgptWcKkgc,Entertainment,9244,8219
eP33TkuI9vI,Music,24341,50005
L87HuKmGwVQ,Peopleand Blogs,179074,146548
LeFxjRMv5U8,Science and Technology,5211,14480
u429Qgvoxw4,Science and Technology,29459,32672
l_lblj8Cq0o,Music,704609,866222
MTf2X6EHyLQ,Science and Technology,13607,6065
tl4I1b6cHKc,Entertainment,86727,33979
PrNRtC3XfWk,Howtoand Style,9484,6772
uGwcNjWrgaU,Entertainment,0,20724
Yb2YuC7UbwI,Education,14639,23028
MmiFNe00SP0,Newsand Politics,6,1537
2GrKY7Qqal8,Entertainment,6611,14269
DNrNMg8_gEs,Entertainment,106277,58284
p2JpSCYQKFs,Education,3988,1668
ZWAkzvL5Ho4,Entertainment,23250,32313
weebcQPRGUE,Petsand Animals,3475,17071
hMBxriQamIU,Music,14478,27135
5qpjK5DgCt4,Comedy,146033,81323
TTio2AvTMKk,Entertainment,56,2755
p8npDG2ulKQ,Music,2407413,1616519
p6cInZvsPPI,Peopleand Blogs,10859,10626
WmNGq56WMLE,Newsand Politics,178,2156
v-vx6GpTBkc,Entertainment,10229,13528
dHDn26UX4aw,Comedy,4579,10223
Bhplg8YCu-M,Newsand Politics,30503,97602
ulCdoCfw-bY,Education,175224,102600
L_SyKf-ETlY,Music,56064,47930
xfmipNU4Odc,Petsand Animals,17267,22303
qF7SRQFd49E,Newsand Politics,27916,62171
4h-XOckOwN8,Entertainment,38877,39511
6xUnndUTDBQ,Peopleand Blogs,22531,16395
EZSCtgfmEO0,Newsand Politics,24693,29862
7kRDYwtE10Y,Peopleand Blogs,14345,11343
pkwSoJrVWAY,Science and Technology,29,-1776
JOwmqPPkjww,Petsand Animals,24061,29544
TZSVf-yD7N8,Entertainment,102559,76219
zjgZuuE8OVc,Howtoand Style,19156,7590
8cpqLRC7T80,Howtoand Style,35839,19554
2GjJ85MImlo,Howtoand Style,54043,33517
hQA0oWZpgAQ,Entertainment,16739,20909
igczJLuaelg,Gaming,118454,119233
jgvQzWAhoiw,Howtoand Style,43789,14143
SmqLoqByhL0,Entertainment,10915,14526
nZI-zkjhtyg,Howtoand Style,38087,25526
WbYqfpnw7sE,Peopleand Blogs,2,4905
WACO9TqZEh0,Entertainment,13539,17777
4FkEYUPr2gg,Comedy,25038,24134
ijUK3z5rt5s,Comedy,61218,82169
SMvZa784oow,Howtoand Style,29171,16715
5hpuoMilm_4,Peopleand Blogs,121470,58638
b2txBXQGjJ8,Entertainment,19537,33637
42ZE4DCJkEo,Entertainment,44259,50092
m9sR3Z0vVOc,Entertainment,60688,73738
Es9CfWMmPRU,Entertainment,15675,24230
cIkEjFiUqwU,Newsand Politics,5401,7489
z6A2LHGx8_A,Music,34033,35654
e6XeP9gQPmg,Education,20941,12013
GkgkP0ARxd0,Entertainment,5963,5728
8h--kFui1JA,Music,325603,312475
m8Dqg8iz5Fo,Howtoand Style,33556,28135
tblXEAKO6KA,Music,16,18411
OG6qjAivguw,Comedy,1128,6123
Wpm07-BGJnE,Music,813978,804382
aoY0J5jSbTM,Entertainment,8831,16634
lRlp6e2Bam8,Peopleand Blogs,5438,9511
A9YcrloL3oE,Filmand Animation,273181,215169
8RMScghsI6o,Education,8433,3607
PLAFNvxDPMw,Entertainment,6357,8737
XWrB4qOF_UA,Howtoand Style,103568,78429
iJz5jURaEBc,Howtoand Style,33920,20111
AV5TOlGFHk0,Science and Technology,4288,14102
Me8jYR9Q0kw,Peopleand Blogs,85983,53497
cDjYY7nW7cY,Petsand Animals,13748,19437
HdusPnywwPI,Howtoand Style,56953,45546
nFpEuUY-zQ0,Peopleand Blogs,7381,34810
JRzZl_nq6fk,Newsand Politics,13254,28139
x2KAYep8FwI,Entertainment,34350,63157
whwUlzuLfs4,Music,1769,31422
OvHskUT3XTI,Peopleand Blogs,3097,9001
LK3Yz9UpP_A,Howtoand Style,9313,7849
pcmbmC9cUUY,Howtoand Style,16615,14043
3eQP6JoxtKk,Filmand Animation,126990,199218
9wD5OsJM-Pc,Filmand Animation,5844,37323
yF_EbNjQq3E,Music,556,19029
ZXEmAGAV8kA,Autosand Vehicles,529,28124
4L-BPQVZYXM,Science and Technology,54190,46033
mlJGtSg5oRw,Peopleand Blogs,53648,41162
DMKcO-T5Y4o,Education,23804,18828
exQ2u3qSfrM,Music,3792,20264
fLjXIFvafSE,Science and Technology,10518,6693
3pCCjHDPq6U,Education,11655,15397
SwOZ0Dg_IQs,Entertainment,727,3834
e5D3O4yCmCg,Entertainment,4900,72829
vDtyaRoonx4,Sports,239153,258644
j9n7Boia0po,Sports,12,10593
Kpxn9nl02qg,Entertainment,11520,10246
GxLYCKB8v2w,Music,708,18908
eUgrVCDUCtE,Filmand Animation,34525,81750
NRs3YCJDBAs,Howtoand Style,20130,11834
H14tqKZYhgg,Entertainment,951,89422
lJM8qqEy35c,Newsand Politics,336,5013
cZxOvNxbi7U,Education,1261,34107
4V3Y8Sbz9HI,Entertainment,25366,32402
je_0dC12gOs,Sports,9588,19756
UfR5dKcKJvY,Comedy,192091,90285
5VGxDEh3F0g,Filmand Animation,3768,31207
00nmxR1mxIA,Entertainment,7105,12110
cv8VhlIw6Qc,Newsand Politics,37,1827
nZI-zkjhtyg,Howtoand Style,37340,24824
CvkOWb1U-LI,Science and Technology,12269,4914
TnCa71iUVxA,Music,267032,158655
VQbYbElYjK4,Newsand Politics,74,2441
mD4jp2HHu0g,Filmand Animation,207197,241232
TsT5GLWgSkU,Comedy,82815,36011
ACHZrvF6mTA,Entertainment,10772,13056
v_8TF4nv88s,Education,15708,17304
0ZAA9Y4F37I,Newsand Politics,286,2650
iJPjFddLOxo,Education,11639,10576
7_FJUSBFbJM,Shows,31813,11986
73w5fYHqVwA,Newsand Politics,76,1592
f45Va7jMSx4,Peopleand Blogs,4594,8345
fLjXIFvafSE,Science and Technology,9939,6207
0eOtSEkLVtw,Education,11750,9428
NsJkUfrqLzY,Music,19424,32677
H7gh2fmdjCU,Music,140344,165288
Pfat40RFnc4,Education,5300,4190
4Qs8herYTqY,Howtoand Style,35707,22253
DkeiKbqa02g,Music,473512,373956
X-5yy4ETxlQ,Entertainment,15943,28705
0EbFotkXOiA,Newsand Politics,2430,11998
yA4xvRkZYjs,Howtoand Style,29171,28223
ai_UWoM37dI,Entertainment,368569,508753
HxuHo62reRw,Howtoand Style,58764,32548
xXf2ct7C2fQ,Entertainment,22632,45424
aGl-1nwahCA,Comedy,63301,65772
sdKWEWu4PnE,Entertainment,637,3532
lbFzL-0pEeU,Howtoand Style,36555,39510
cqg5oc20nxk,Autosand Vehicles,2909,49247
Bzu4G8uZs-4,Music,104630,54621
aTYkKrhj5pE,Newsand Politics,2841,21183
k4rpunDMC0s,Entertainment,489,3654
O8bszsJ0D7I,Peopleand Blogs,147390,93483
rDGt6F3xTcw,Autosand Vehicles,220,27954
MAjY8mCTXWk,Music,136187,404183
5PR3Hn6cQ60,Howtoand Style,37788,27877
9dHLFD_Jveo,Sports,27873,56741
X9Qh8vsSE-c,Entertainment,81157,69752
Xr2rgT9uEnA,Gaming,96063,70077
mSVkk9lLv1Y,Comedy,20302,41958
2a52cBN9qOA,Newsand Politics,8,1566
aVamZUeeR88,Peopleand Blogs,38821,22481
52Y7NwbmOHY,Entertainment,3719,6407
sXP6vliZIHI,Peopleand Blogs,305224,269182
JqfuKsoEEms,Entertainment,5790,257743
yFRPhi0jhGc,Education,36145,20112
0dSR-9mtuzk,Entertainment,3962,4585
7u6rMOvvTzU,Entertainment,23399,21385
nT39kZDAx_s,Entertainment,12175,16815
Zx7p_tmWlq0,Newsand Politics,72,1655
XkGTE4WMMko,Howtoand Style,21539,19064
2fouYHWUhZo,Entertainment,66438,43600
bJWDajO2SZE,Entertainment,169237,172922
be3BHwNi58A,Newsand Politics,477,3726
RE-aVnbJyOU,Entertainment,2323,8005
zsoh0Y_VXdY,Education,11445,15649
PluaPvhkIMU,Filmand Animation,5020,34277
RQDphL2MVlM,Howtoand Style,3756,2362
oNpzeIdOtlk,Newsand Politics,9168,64832
Atx-0_G1KHQ,Peopleand Blogs,24648,19606
kOnQocd799Y,Filmand Animation,58967,100749
fCuvR9LEczE,Entertainment,1027,3923
iA5u80nS1PQ,Comedy,33197,30370
wowAOdTYqw8,Music,123166,92267
-7_ATlZ-zMc,Sports,27762,75612
UVaeRX9LybU,Peopleand Blogs,56278,73026
0vhxoVwqZkk,Entertainment,51353,22156
w8AJBlmLMZM,Comedy,74802,54853
v6WdrNN9j8w,Comedy,54790,40406
UBGb8jRjK4k,Newsand Politics,74,2822
8ENIIcMmeD0,Howtoand Style,32726,14595
mZ2qbwvAVjs,Peopleand Blogs,21230,15807
ai6NByMmCVU,Entertainment,41451,42805
45tSUnisIos,Petsand Animals,11618,19758
jzLlsbdrwQk,Peopleand Blogs,93643,118697
B5HORANmzHw,Education,8421,7553
yvicqMrAHvQ,Traveland Events,2205,92068
fRcmFr9cE5M,Entertainment,13023,9889
UH0nTHb6OdY,Entertainment,75035,98270
p1af9PKM8Eo,Music,5618,20605
j4KvrAUjn6c,Entertainment,154861,228900
qD2yyikDcDw,Entertainment,17276,13723
7VnEPIBsp20,Entertainment,28260,28250
DGhPGH2YROA,Music,121487,72888
eRphuaJ9iJ8,Howtoand Style,3590,2897
2E_HEeOpiEA,Howtoand Style,65667,399745
jHvSF0njyvc,Newsand Politics,1891,5329
duXW_wPTw0o,Howtoand Style,100551,40953
SX9mF288Tb8,Peopleand Blogs,78480,38315
HtLbE_SIuxg,Education,11265,16248
AvFNCNOyZeE,Science and Technology,11811,9351
K6Zu3qKhON4,Music,8136,25391
jHZTzXteoU8,Howtoand Style,22705,14430
9YlnHbN28jo,Howtoand Style,4572,4848
cYkDfWdlLak,Comedy,17114,16988
s_LxZx42sIk,Education,8057,4521
VLxl1UeuwHY,Traveland Events,21911,44041
1DQ9UTz5j8o,Comedy,39477,28095
uwUchGQRXKM,Howtoand Style,28814,19960
YvEGAcgpwqQ,Comedy,11246,15632
TsYGNNPQ3ZU,Entertainment,11788,8949
5g2UZr5RGgg,Petsand Animals,18166,42843
_0p3gPzPGNs,Peopleand Blogs,637,8602
ZpMNJbt3QDE,Newsand Politics,22029,11110
HCO7BWbKipU,Petsand Animals,33328,60176
8-u5nd2GqNE,Education,17911,19750
aDl6SGTkomk,Music,1685,20943
qSKOPBVkpJk,Music,48720,67739
ZCEgDAYzyRw,Comedy,58619,36396
GClwSu4hKpQ,Entertainment,120,2986
J75enyWdbBM,Music,83292,114362
B4gXsobd_ao,Education,3809,2993
WXTNngJsBrI,Entertainment,5957,11100
oRQ4cTsr3_c,Entertainment,8099,9426
TX0UsGn0GPc,Filmand Animation,10042,43302
6xMBmvevhj0,Music,29634,36932
eP33TkuI9vI,Music,24637,50609
If-n27SUAl8,Entertainment,461,3271
d54e3kcTlHM,Music,14363,28889
73_OWzBr8Fo,Music,113396,67927
6hb0GOOFQwI,Comedy,788,4297
425M4M3Opkk,Filmand Animation,147144,224971
6uJf2IT2Zh8,Music,505290,345392
uGwcNjWrgaU,Entertainment,0,8954
Q3jege0p0dQ,Entertainment,198143,138362
HqwVFXyCfOI,Entertainment,12592,27362
LK3Yz9UpP_A,Howtoand Style,10687,9351
_IoOJu2_FKE,Science and Technology,10363,20991
aMQbRpxgFvs,Science and Technology,111877,92758
mdTv3V4ALzg,Howtoand Style,8233,9001
IvAvHjYoLUU,Education,21569,15195
f04asn4oe4Q,Entertainment,58539,57855
Qcj15vHJTtk,Entertainment,65282,154316
svi8VheVPrc,Science and Technology,9811,8286
iZpxzfMkVzM,Traveland Events,15180,20997
wDrx1pxh-Po,Howtoand Style,20251,21980
UXNnAB3ugPU,Howtoand Style,82177,65876
NePlddZpNKs,Traveland Events,11811,45787
8rqztDFvmZ8,Howtoand Style,66506,69185
WXyLdg4mJxo,Music,35637,35495
pFc6I0rgmgY,Entertainment,34947,115061
x3zQELlrY6A,Peopleand Blogs,91918,117221
42ZE4DCJkEo,Entertainment,52449,63667
4a1TUszkMfI,Sports,6449,17634
tG4Fbj1B1bY,Entertainment,1358,3653
Cf3zj7D8SQ4,Filmand Animation,91918,147486
_QufBstcsrc,Peopleand Blogs,2579,10252
T1-k7VYwsHg,Howtoand Style,91794,88353
mDRifR9HdK8,Petsand Animals,14762,28921
Nb_t6X541yo,Peopleand Blogs,12921,11588
QfNG-YJ3YmU,Sports,41417,82787
uVcvhKTVZ8g,Gaming,136290,119600
rQEqKZ7CJlk,Science and Technology,46420,57813
fGHOLz35L8M,Petsand Animals,31842,38922
phiDj5nlF5c,Education,12911,24400
9D0eyl7-XQA,Science and Technology,1981,55
pH7VfJDq7f4,Education,14556,9779
4_eVvzrTV-I,Sports,3165,16391
72Qahj0U0Lw,Newsand Politics,1332,8349
OdNqWcUdm6I,Howtoand Style,85399,46256
PrNRtC3XfWk,Howtoand Style,8600,6086
bTfJa_Qb5T0,Howtoand Style,114647,82500
IoqDYnn7VKA,Comedy,412,3981
mNKwe9k55fs,Filmand Animation,22842,66227
5mar5AHglGI,Entertainment,25598,14562
Y6eKxjMA9ek,Entertainment,15909,8644
lE0eWRdSrY4,Newsand Politics,17270,35944
GfCqMv--ncA,Music,110979,74668
lBbSzQXQknw,Entertainment,50493,71890
RUApBid9vnE,Howtoand Style,14729,10075
DTErM4uuPdc,Howtoand Style,8678,7509
NsJkUfrqLzY,Music,7294,22276
m9sR3Z0vVOc,Entertainment,58680,70181
GeF_5qo00Uw,Filmand Animation,6329,35845
vjnqABgxfO0,Entertainment,10822,15481
Wwyxaow1wWg,Entertainment,2,2641
zEf423kYfqk,Music,1119327,1441162
XHkAjUVoQME,Peopleand Blogs,2968,9639
phXTecbj6NI,Howtoand Style,6119,5736
DMKcO-T5Y4o,Education,20760,16748
oCAbvclXL6I,Entertainment,10780,8665
rBkLNBRDw5c,Entertainment,395,4721
6nJw-jPQYVI,Entertainment,1351,6550
Dm1tTSZHj8Y,Education,4784,4054
htmLGVUqIos,Petsand Animals,8702,18621
Vn-l53PbEIQ,Newsand Politics,320,1787
6wpb3YfXGqU,Howtoand Style,3817,3045
xTlNMmZKwpA,Music,1099213,640429
tjA7nAHOAww,Music,391728,330066
LDS8SeO6hyg,Entertainment,11133,10683
h_-JFUci0BM,Music,10324,23997
nRc0kmOYgzQ,Entertainment,46287,106938
kzFHjyysXr0,Comedy,91174,46087
erybgSeUHus,Sports,4641,28720
MyAnv1nY5Vw,Newsand Politics,312,1332
IMzf3C34NNM,Peopleand Blogs,2972,6371
rsEne1ZiQrk,Music,628413,698643
cJHA4lLp32M,Entertainment,830,3925
Fh3zmz7Ravw,Comedy,10640,16909
By6Mi7VlqcU,Peopleand Blogs,2439,12182
U22EEAK_VLc,Howtoand Style,4763,3808
aD5dCMBeySA,Peopleand Blogs,1304,7708
GyvRamX1VyA,Entertainment,16886,15251
BFqNP8VqoPs,Science and Technology,12767,9091
GEsK9GudV2M,Music,78121,45336
SFr0fCgrTNQ,Entertainment,78192,53107
Nsg6ZDd4NfQ,Howtoand Style,17075,10368
RYGFczNMAMk,Education,15070,9530
D-DYWvnrFs8,Petsand Animals,2083,14121
Da2crn5NXc4,Howtoand Style,54674,19447
sFtLUGa3arU,Howtoand Style,54071,37292
Bkus04-5kWk,Entertainment,8613,10241
xqj7XOv9mC8,Filmand Animation,1783,55789
8PRrH-1kuwY,Entertainment,18363,24061
bOG0X1WvXVU,Gaming,610,8239
_KBc4B5JFoQ,Music,75277,55037
R8C9rZQlcKM,Science and Technology,491,-1323
52pwYD_rxmE,Gaming,89028,64888
HgknAaKNaMM,Music,60229,69964
2QK6Usg2KT0,Entertainment,32707,50695
pcJo0tIWybY,Music,206387,165904
GwKiyICIUO4,Sports,2052,14726
bK0TEqDtkK4,Gaming,59139,52806
iILJvqrAQ_w,Music,95497,99712
qtW9ornyPIQ,Comedy,37973,53009
tE5C3O71Xqo,Science and Technology,25089,33808
CP23fL52Bes,Entertainment,2725,10208
hV-yHbbrKRA,Education,10864,10055
fQjGRb4-IQM,Petsand Animals,1611,15763
HgknAaKNaMM,Music,23734,36685
ccgIXa7TIkc,Entertainment,6950,19341
qCSu-X_aEvo,Comedy,20165,38081
_zCDvOsdL9Q,Comedy,314648,177639
#NAME?,Entertainment,3669,10900
92HCNclQOYo,Entertainment,8315,10035
NtKS8YR5ioo,Sports,2449,29335
kjC1zmZo30U,Entertainment,41079,108538
L_SyKf-ETlY,Music,52533,44829
DPCW4yvWQT4,Entertainment,21942,17287
ZKWDCyVbnoM,Filmand Animation,25423,58415
KObL442PWhQ,Entertainment,35191,33592
jhEBBGOD7es,Sports,33003,46828
o7iL2KzDh38,Music,161738,80492
DSRSgMp5X1w,Music,181755,185816
9t9u_yPEidY,Music,248909,341934
dRfvXL-m7O8,Entertainment,24504,25262
ONI_06wGbsQ,Entertainment,27852,14550
cWGWYAhLuAQ,Entertainment,32476,20847
2J6bJnwr1rw,Entertainment,42406,29848
HgknAaKNaMM,Music,96749,124028
RQREeUE9eGI,Comedy,2436,4815
iHcfeuGYuzU,Sports,555,13371
X6iJ0hPpGec,Entertainment,40619,34761
Swv1il6PpN4,Traveland Events,10260,19009
UUkn-enk2RU,Entertainment,444275,458956
ZBXZojt6dpM,Education,6771,3462
CHXD9k19q1Y,Music,68129,48371
nFpEuUY-zQ0,Peopleand Blogs,6649,31793
OZv7qYZ43xQ,Peopleand Blogs,24795,22903
mDRifR9HdK8,Petsand Animals,6878,18647
jhEBBGOD7es,Sports,38826,59148
qD2yyikDcDw,Entertainment,27083,23821
CP5Ro3oy-ec,Entertainment,28491,105849
afgvlR9WmIQ,Music,20159,34810
GhHBfDK4lE8,Howtoand Style,9589,6984
MsPOzYbEUqo,Peopleand Blogs,20300,16141
Hq4jk71B1Hk,Howtoand Style,4358,5999
olf9d8JvrA8,Entertainment,1841,4433
Q1CFfU2gXHw,Shows,1130,-16628
iQp1_GfDhwQ,Music,38607,46780
8V08Gu1DOgE,Entertainment,28119,42211
b8GGWHGkx3Y,Gaming,15777,25573
QatPF3Pqhp4,Howtoand Style,24647,16173
8V08Gu1DOgE,Entertainment,35099,63232
xYtsL9znopI,Music,218877,132688
H08xgoXkpa8,Entertainment,8956,21348
K5xERXE7pxI,Music,193248,127834
ugdgAifIOBA,Music,35407,47717
